episode,reward,hits,length,surrogate_before,surrogate_after,kl,entropy,grad_norm
1,-100.0,0,15,0.0,0.0,0.0,0.0,0.0
2,-100.0,0,11,0.0,0.0,0.0,0.0,0.0
3,-100.0,0,116,0.0,0.0,0.0,0.0,0.0
4,-100.0,0,40,0.0,0.0,0.0,0.0,0.0
5,-100.0,0,116,0.0,0.0,0.0,0.0,0.0
6,-100.0,0,116,0.0,0.0,0.0,0.0,0.0
7,0.0,1,88,0.0,0.0,0.0,0.0,0.0
8,-100.0,0,116,0.0,0.0,0.0,0.0,0.0
9,0.0,1,94,0.0,0.0,0.0,0.0,0.0
10,-100.0,0,11,0.001097451546229422,0.011196430772542953,0.0006452217348851264,1.0969288349151611,0.1574057936668396
11,-100.0,0,59,0.0,0.0,0.0,0.0,0.0
12,0.0,1,88,0.0,0.0,0.0,0.0,0.0
13,-100.0,0,40,0.0,0.0,0.0,0.0,0.0
14,-100.0,0,22,0.0,0.0,0.0,0.0,0.0
15,-100.0,0,43,0.0,0.0,0.0,0.0,0.0
16,-100.0,0,43,0.0,0.0,0.0,0.0,0.0
17,-100.0,0,22,0.0,0.0,0.0,0.0,0.0
18,0.0,1,88,0.0,0.0,0.0,0.0,0.0
19,-100.0,0,116,0.0,0.0,0.0,0.0,0.0
20,-100.0,0,43,0.0010967077687382698,0.005769105162471533,0.00032704160548746586,1.0968035459518433,0.06046881899237633
21,-100.0,0,11,0.0,0.0,0.0,0.0,0.0
22,-100.0,0,11,0.0,0.0,0.0,0.0,0.0
23,0.0,1,66,0.0,0.0,0.0,0.0,0.0
24,-100.0,0,43,0.0,0.0,0.0,0.0,0.0
25,-100.0,0,30,0.0,0.0,0.0,0.0,0.0
26,-100.0,0,30,0.0,0.0,0.0,0.0,0.0
27,-100.0,0,59,0.0,0.0,0.0,0.0,0.0
28,-100.0,0,43,0.0,0.0,0.0,0.0,0.0
29,-100.0,0,40,0.0,0.0,0.0,0.0,0.0
30,0.0,1,88,0.0010961127700284123,0.009403333067893982,0.00044655526289716363,1.0953773260116577,0.10673381388187408
31,-100.0,0,43,0.0,0.0,0.0,0.0,0.0
32,-100.0,0,59,0.0,0.0,0.0,0.0,0.0
33,0.0,1,88,0.0,0.0,0.0,0.0,0.0
34,-100.0,0,30,0.0,0.0,0.0,0.0,0.0
35,-100.0,0,40,0.0,0.0,0.0,0.0,0.0
36,-100.0,0,15,0.0,0.0,0.0,0.0,0.0
37,0.0,1,47,0.0,0.0,0.0,0.0,0.0
38,100.0,2,331,0.0,0.0,0.0,0.0,0.0
39,-100.0,0,30,0.0,0.0,0.0,0.0,0.0
40,-100.0,0,11,0.0010959792416542768,0.0062830462120473385,0.00044099148362874985,1.094660997390747,0.11100871115922928
41,-100.0,0,40,0.0,0.0,0.0,0.0,0.0
42,-100.0,0,116,0.0,0.0,0.0,0.0,0.0
43,-100.0,0,15,0.0,0.0,0.0,0.0,0.0
44,-100.0,0,22,0.0,0.0,0.0,0.0,0.0
45,-100.0,0,11,0.0,0.0,0.0,0.0,0.0
46,-100.0,0,59,0.0,0.0,0.0,0.0,0.0
47,-100.0,0,11,0.0,0.0,0.0,0.0,0.0
48,-100.0,0,116,0.0,0.0,0.0,0.0,0.0
49,-100.0,0,30,0.0,0.0,0.0,0.0,0.0
50,0.0,1,94,0.0010941509390249848,0.006800404749810696,0.0003454625839367509,1.0942316055297852,0.12355852127075195
51,0.0,1,63,0.0,0.0,0.0,0.0,0.0
52,-100.0,0,43,0.0,0.0,0.0,0.0,0.0
53,-100.0,0,40,0.0,0.0,0.0,0.0,0.0
54,-100.0,0,15,0.0,0.0,0.0,0.0,0.0
55,0.0,1,94,0.0,0.0,0.0,0.0,0.0
56,-100.0,0,30,0.0,0.0,0.0,0.0,0.0
57,-100.0,0,116,0.0,0.0,0.0,0.0,0.0
58,-100.0,0,116,0.0,0.0,0.0,0.0,0.0
59,-100.0,0,43,0.0,0.0,0.0,0.0,0.0
60,-100.0,0,59,0.0010949672432616353,0.004316415172070265,0.00030716732726432383,1.093538522720337,0.0573323592543602
61,-100.0,0,22,0.0,0.0,0.0,0.0,0.0
62,-100.0,0,40,0.0,0.0,0.0,0.0,0.0
63,-100.0,0,40,0.0,0.0,0.0,0.0,0.0
64,0.0,1,94,0.0,0.0,0.0,0.0,0.0
65,-100.0,0,40,0.0,0.0,0.0,0.0,0.0
66,-100.0,0,30,0.0,0.0,0.0,0.0,0.0
67,-100.0,0,116,0.0,0.0,0.0,0.0,0.0
68,-100.0,0,22,0.0,0.0,0.0,0.0,0.0
69,-100.0,0,11,0.0,0.0,0.0,0.0,0.0
70,-100.0,0,40,0.001093108206987381,0.005345093552023172,0.0004159193194936961,1.0942466259002686,0.07701258361339569
71,200.0,3,548,0.0,0.0,0.0,0.0,0.0
72,-100.0,0,59,0.0,0.0,0.0,0.0,0.0
73,-100.0,0,43,0.0,0.0,0.0,0.0,0.0
74,-100.0,0,22,0.0,0.0,0.0,0.0,0.0
75,-100.0,0,59,0.0,0.0,0.0,0.0,0.0
76,-100.0,0,40,0.0,0.0,0.0,0.0,0.0
77,-100.0,0,11,0.0,0.0,0.0,0.0,0.0
78,-100.0,0,59,0.0,0.0,0.0,0.0,0.0
79,-100.0,0,59,0.0,0.0,0.0,0.0,0.0
80,-100.0,0,40,0.0010954384924843907,0.004100920632481575,0.000273638783255592,1.09596586227417,0.040271416306495667
81,-100.0,0,30,0.0,0.0,0.0,0.0,0.0
82,-100.0,0,11,0.0,0.0,0.0,0.0,0.0
83,-100.0,0,11,0.0,0.0,0.0,0.0,0.0
84,-100.0,0,11,0.0,0.0,0.0,0.0,0.0
85,-100.0,0,30,0.0,0.0,0.0,0.0,0.0
86,-100.0,0,59,0.0,0.0,0.0,0.0,0.0
87,-100.0,0,15,0.0,0.0,0.0,0.0,0.0
88,-100.0,0,11,0.0,0.0,0.0,0.0,0.0
89,100.0,2,102,0.0,0.0,0.0,0.0,0.0
90,-100.0,0,59,0.0010945183457806706,0.008170333690941334,0.0004717808624263853,1.094293475151062,0.1358393430709839
91,-100.0,0,116,0.0,0.0,0.0,0.0,0.0
92,-100.0,0,59,0.0,0.0,0.0,0.0,0.0
93,-100.0,0,116,0.0,0.0,0.0,0.0,0.0
94,-100.0,0,116,0.0,0.0,0.0,0.0,0.0
95,-100.0,0,40,0.0,0.0,0.0,0.0,0.0
96,-100.0,0,116,0.0,0.0,0.0,0.0,0.0
97,-100.0,0,22,0.0,0.0,0.0,0.0,0.0
98,-100.0,0,43,0.0,0.0,0.0,0.0,0.0
99,-100.0,0,30,0.0,0.0,0.0,0.0,0.0
